id,Warehouse_block,Mode_of_Shipment,Customer_care_calls,Customer_rating,Cost_of_the_Product,Prior_purchases,Product_importance,Gender,Discount_offered,Weight_in_gms,Reached_on_Time
1507,C,Road,3,3,150,4,medium,F,1,4662,0
1508,D,Flight,3,2,240,3,medium,M,2,4804,0
1509,C,Flight,5,3,217,2,low,F,4,5588,0
1510,F,Ship,3,2,233,5,low,M,44,2010,1
1511,F,Road,5,5,245,4,medium,F,12,2225,1
1512,F,Ship,5,2,206,2,medium,F,2,5627,1
1513,A,Ship,4,5,273,3,low,F,1,5043,1
1514,B,Ship,5,2,239,2,medium,F,15,2471,1
1515,B,Ship,3,4,194,3,medium,M,3,2169,1
1516,A,Ship,4,4,239,5,low,F,6,1239,0
1517,F,Flight,3,3,172,4,low,F,33,1989,1
1518,D,Road,6,3,271,4,low,F,2,1364,1
1519,B,Road,5,5,184,3,low,F,2,5800,0
1520,A,Flight,5,1,271,5,low,M,4,1353,0
1521,F,Ship,3,1,150,2,medium,F,46,1431,1
1522,B,Flight,3,5,157,3,medium,F,4,1889,1
1523,C,Ship,5,1,250,3,low,M,8,5845,0
1524,C,Flight,3,4,202,4,high,M,20,3655,1
1525,B,Ship,5,4,199,4,low,F,7,5740,0
1526,F,Ship,3,2,169,2,high,M,30,1698,1
1527,F,Ship,4,5,245,5,low,M,8,1841,0
1528,A,Ship,4,5,199,4,medium,M,1,5585,1
1529,B,Ship,4,4,231,5,low,F,6,5482,0
1530,C,Ship,4,3,244,2,low,M,10,4486,1
1531,F,Ship,2,5,101,3,low,M,10,4353,0
1532,B,Ship,3,3,281,2,medium,M,55,3047,1
1533,A,Ship,2,4,176,2,medium,F,2,5138,0
1534,C,Ship,4,5,246,3,medium,F,7,4956,0
1535,C,Ship,5,2,246,5,medium,F,9,1876,0
1536,D,Ship,4,2,222,3,low,F,3,5130,0
1537,F,Ship,2,5,167,3,medium,M,8,4605,0
1538,B,Ship,5,3,229,5,low,F,1,1424,0
1539,B,Ship,4,1,188,2,low,M,6,5894,1
1540,F,Flight,6,5,305,4,low,F,7,1099,1
1541,F,Ship,4,3,274,3,low,F,5,4409,0
1542,B,Flight,2,4,159,3,medium,M,47,1547,1
1543,F,Ship,3,3,176,2,medium,M,34,1856,1
1544,F,Ship,3,2,188,3,low,F,33,3335,1
1545,D,Flight,4,1,211,3,medium,F,2,5851,0
1546,F,Road,5,5,269,5,medium,F,3,1120,0
1547,F,Flight,3,4,235,3,low,M,4,5498,0
1548,F,Ship,7,2,300,4,medium,M,3,1070,1
1549,D,Ship,4,5,258,2,medium,M,6,5062,1
1550,F,Ship,5,1,181,3,low,F,6,5423,0
1551,F,Ship,4,3,103,2,low,M,4,5146,0
1552,C,Flight,2,3,251,3,low,F,2,3351,1
1553,F,Ship,2,1,109,4,low,F,3,5264,1
1554,B,Ship,4,2,258,3,high,M,10,4643,1
1555,A,Ship,2,5,117,3,low,M,44,1192,1
1556,D,Flight,5,1,266,3,low,M,10,5858,0
1557,F,Road,4,3,217,6,medium,F,6,1552,0
1558,F,Ship,2,3,160,4,low,F,53,1850,1
1559,F,Ship,3,4,145,4,high,M,4,5801,0
1560,F,Ship,4,4,273,3,low,F,3,5749,1
1561,D,Ship,5,4,280,4,low,M,10,5156,0
1562,F,Ship,3,2,238,2,low,F,29,3728,1
1563,F,Ship,5,3,246,5,medium,M,4,1257,1
1564,A,Road,3,1,228,2,low,F,7,4977,0
1565,F,Ship,3,1,167,2,high,F,34,1967,1
1566,D,Flight,5,5,142,4,low,M,5,5749,0
1567,F,Ship,3,2,261,5,medium,M,45,2488,1
1568,F,Road,5,5,249,4,medium,F,38,2797,1
1569,C,Ship,3,4,209,2,high,M,10,4540,0
1570,A,Ship,3,1,187,5,low,F,6,4698,0
1571,D,Ship,4,5,183,2,medium,F,8,4422,0
1572,F,Ship,3,5,150,10,low,M,2,5042,0
1573,F,Ship,6,5,283,4,low,M,3,1374,1
1574,F,Flight,3,5,262,2,medium,F,7,4422,1
1575,A,Road,3,1,155,2,low,M,7,4221,1
1576,B,Ship,5,1,227,3,low,F,14,2589,1
1577,D,Road,4,3,184,3,medium,F,19,2774,1
1578,D,Flight,5,4,235,2,medium,M,9,5549,0
1579,B,Flight,4,3,117,3,medium,F,4,4666,0
1580,A,Flight,5,2,233,3,medium,F,10,4233,1
1581,C,Road,4,4,135,3,low,F,4,4651,1
1582,B,Flight,4,2,266,3,medium,M,4,4197,1
1583,A,Flight,5,4,236,3,medium,F,1,5711,0
1584,D,Ship,6,4,310,4,medium,M,1,1494,1
1585,D,Ship,5,3,170,3,low,F,12,1018,1
1586,B,Ship,3,5,214,3,low,F,6,5319,0
1587,F,Ship,6,1,142,5,low,F,30,1464,1
1588,C,Ship,4,4,203,2,low,F,4,4793,0
1589,D,Ship,5,1,237,5,medium,F,8,1150,1
1590,A,Road,6,4,290,4,low,M,3,1710,0
1591,B,Road,5,3,236,2,medium,M,6,1329,1
1592,D,Ship,7,5,282,5,low,M,8,1091,1
1593,F,Flight,3,5,177,2,low,F,2,4906,1
1594,F,Flight,4,3,132,4,medium,M,10,1767,1
1595,D,Ship,6,5,264,4,low,F,4,1822,1
1596,C,Ship,6,2,257,4,medium,M,1,1513,0
1597,B,Ship,6,3,309,4,low,M,5,1712,0
1598,A,Ship,6,5,287,4,low,M,8,1465,0
1599,A,Ship,5,5,272,4,medium,M,10,1383,1
1600,F,Ship,5,1,255,3,medium,F,6,5715,0
1601,A,Ship,4,3,149,3,medium,F,1,1448,1
1602,C,Flight,3,5,252,2,low,M,2,4888,1
1603,F,Ship,5,1,242,5,medium,M,8,1382,1
1604,A,Ship,5,5,205,2,high,M,65,3671,1
1605,F,Ship,4,4,186,7,medium,M,9,5418,0
1606,C,Ship,4,5,213,3,medium,F,42,3121,1
1607,F,Flight,4,5,142,10,high,F,5,4147,1
1608,C,Flight,3,3,180,7,medium,F,4,5068,1
1609,F,Ship,3,1,266,3,low,M,5,5154,0
1610,F,Ship,4,1,152,7,low,F,5,5325,1
1611,F,Ship,3,4,136,3,medium,M,2,4524,1
1612,C,Flight,5,5,230,10,high,M,10,5619,1
1613,C,Ship,3,1,211,3,medium,M,1,4889,1
1614,C,Ship,2,1,180,3,low,M,2,4615,1
1615,F,Ship,6,4,250,4,low,M,3,1490,1
1616,C,Ship,5,1,245,5,low,M,7,1038,0
1617,F,Road,4,5,129,5,medium,M,7,5554,1
1618,B,Ship,4,5,237,5,low,F,9,1978,1
1619,F,Flight,3,2,264,4,medium,M,1,4877,0
1620,C,Ship,3,1,268,4,low,M,10,5226,1
1621,F,Ship,3,4,207,7,medium,F,46,2670,1
1622,F,Road,3,5,151,2,medium,M,8,4408,1
1623,C,Ship,4,5,165,3,high,M,5,4735,0
1624,C,Ship,4,5,151,4,medium,M,10,4796,0
1625,A,Flight,4,3,201,3,medium,F,54,2487,1
1626,F,Ship,4,2,244,3,high,M,1,5559,1
1627,B,Ship,3,5,186,3,medium,M,7,4764,0
1628,B,Ship,3,5,192,4,medium,F,7,4741,1
1629,D,Ship,3,5,145,2,low,F,2,4232,1
1630,A,Ship,6,4,278,5,low,M,5,1180,0
1631,D,Ship,3,5,223,4,low,F,46,3938,1
1632,F,Road,3,4,226,2,high,F,8,5793,0
1633,F,Road,4,1,167,3,low,F,10,1616,1
1634,A,Flight,3,3,213,6,low,F,17,2424,1
1635,C,Ship,3,2,209,2,low,M,9,5203,0
1636,B,Ship,3,3,198,2,low,M,8,4620,1
1637,C,Ship,2,1,285,3,high,F,7,4999,0
1638,A,Ship,5,3,252,5,low,M,3,1474,0
1639,A,Ship,5,2,146,3,low,F,5,4725,0
1640,F,Ship,5,4,267,2,medium,M,4,4053,0
1641,A,Flight,2,1,164,5,low,F,8,1886,0
1642,F,Ship,4,4,151,3,medium,F,5,4732,0
1643,A,Ship,3,3,269,3,medium,M,5,4197,1
1644,B,Ship,3,2,177,3,low,F,9,5427,0
1645,F,Ship,4,2,198,2,high,M,2,5662,0
1646,B,Ship,4,1,136,3,medium,F,4,5060,1
1647,A,Road,3,5,242,3,medium,F,3,2268,1
1648,F,Ship,3,4,272,3,low,M,44,2548,1
1649,C,Flight,5,5,201,3,medium,F,10,5121,1
1650,A,Ship,5,5,135,4,low,M,8,5029,0
1651,F,Ship,4,5,238,3,low,M,9,1724,1
1652,D,Ship,3,2,144,10,high,F,3,5000,0
1653,F,Ship,2,1,264,3,medium,M,10,3409,1
1654,D,Ship,3,2,157,2,low,M,29,1115,1
1655,A,Ship,5,5,235,5,low,M,8,1332,1
1656,C,Ship,5,2,260,3,low,M,1,4799,1
1657,B,Ship,4,3,261,3,low,F,10,2802,1
1658,F,Ship,3,1,206,2,medium,F,56,2069,1
1659,F,Ship,3,5,133,3,medium,F,4,5902,0
1660,D,Ship,4,3,225,2,medium,F,2,4169,1
1661,D,Ship,4,4,212,4,medium,F,2,3830,1
1662,A,Flight,5,2,241,2,medium,M,9,4965,0
1663,B,Ship,3,1,169,10,medium,F,15,1107,1
1664,C,Road,4,2,108,10,medium,M,5,4645,0
1665,F,Ship,6,5,291,4,low,M,3,1102,1
1666,B,Ship,4,1,265,6,low,F,9,1753,1
1667,F,Ship,3,2,184,5,high,F,26,3336,1
1668,B,Ship,2,1,274,10,high,F,1,5622,0
1669,A,Road,5,1,247,10,medium,F,57,2377,1
1670,C,Ship,4,2,158,4,low,F,13,1785,1
1671,D,Ship,6,3,133,5,medium,M,32,1367,1
1672,D,Road,3,3,188,5,low,F,6,5713,0
1673,B,Ship,4,5,151,3,high,F,31,1365,1
1674,F,Ship,4,3,238,2,low,M,7,5808,1
1675,F,Flight,3,5,130,5,low,F,27,1891,1
1676,F,Ship,4,2,238,3,low,F,28,1040,1
1677,C,Flight,6,1,263,6,low,M,10,5826,0
1678,D,Road,3,3,183,3,low,M,2,4363,0
1679,A,Ship,5,1,230,4,medium,M,4,5363,0
1680,C,Road,4,2,221,2,medium,M,54,3065,1
1681,A,Ship,4,5,171,4,low,F,4,5265,0
1682,D,Ship,6,2,255,4,low,M,9,1157,0
1683,A,Ship,3,4,267,3,low,F,55,2923,1
1684,A,Road,3,3,183,3,medium,M,21,2585,1
1685,A,Road,3,1,164,2,low,M,2,1104,1
1686,F,Ship,3,1,257,2,medium,M,37,3517,1
1687,A,Ship,4,4,153,4,low,M,5,5162,0
1688,C,Ship,4,3,161,7,medium,M,63,1496,1
1689,C,Flight,4,3,249,4,medium,M,10,5614,0
1690,B,Flight,5,5,286,4,high,F,10,1071,1
1691,F,Ship,5,1,252,3,medium,M,2,4339,0
1692,F,Flight,4,5,229,4,medium,F,6,4157,0
1693,F,Road,5,3,138,2,low,M,13,1056,1
1694,D,Ship,7,2,289,5,low,M,1,1178,0
1695,B,Ship,4,4,266,3,low,M,3,5531,1
1696,F,Ship,3,1,250,2,medium,F,9,4753,0
1697,B,Road,3,2,260,2,low,M,7,5553,1
1698,F,Ship,4,4,157,2,low,M,9,4491,1
1699,C,Flight,3,3,197,3,medium,M,8,4568,0
1700,F,Ship,4,3,245,4,medium,M,8,5982,1
1701,F,Ship,4,1,219,2,medium,M,6,5314,0
1702,A,Flight,4,4,223,4,low,M,3,5613,0
1703,A,Flight,3,2,180,4,medium,M,52,1329,1
1704,C,Road,6,1,295,4,medium,F,6,1611,0
1705,F,Road,4,1,157,7,low,F,7,4385,0
1706,F,Ship,4,4,255,6,low,M,5,1708,1
1707,F,Ship,5,1,267,4,low,M,5,5792,0
1708,B,Ship,5,2,262,6,low,F,7,1774,0
1709,D,Ship,3,2,220,3,medium,M,8,4148,0
1710,A,Ship,3,1,111,4,low,M,61,1844,1
1711,B,Ship,5,5,135,4,medium,F,7,5765,1
1712,B,Ship,3,2,238,4,low,F,7,5254,0
1713,F,Flight,3,1,187,2,low,F,8,4292,1
1714,D,Ship,4,5,239,5,low,M,6,1336,0
1715,D,Flight,4,1,140,4,low,M,6,5067,0
1716,F,Ship,4,2,253,5,medium,F,3,1092,0
1717,F,Flight,4,4,165,6,low,F,5,4640,1
1718,A,Ship,4,1,235,4,low,M,22,2066,1
1719,F,Ship,4,4,166,6,low,F,6,4100,1
1720,D,Ship,5,4,222,3,medium,F,10,4663,0
1721,C,Ship,6,1,141,5,low,F,9,5113,0
1722,F,Flight,4,4,265,3,low,M,9,5508,0
1723,F,Ship,4,5,163,3,high,M,4,5863,0
1724,A,Flight,3,5,190,5,high,F,7,4457,0
1725,D,Ship,4,2,243,5,medium,F,8,1922,0
1726,D,Flight,4,1,250,2,medium,M,45,3021,1
1727,F,Road,6,3,192,4,low,M,9,5239,1
1728,B,Ship,2,3,176,5,low,M,29,1254,1
1729,F,Ship,4,2,265,4,medium,F,3,4120,1
1730,D,Ship,4,1,226,5,medium,F,2,1912,0
1731,D,Ship,4,2,244,3,high,F,3,4103,0
1732,D,Road,5,4,200,3,medium,M,3,4225,0
1733,F,Flight,3,1,162,3,medium,F,10,5726,0
1734,B,Ship,4,3,203,2,low,M,8,5597,0
1735,C,Ship,4,4,163,6,medium,M,1,4584,0
1736,D,Flight,3,3,178,3,high,M,12,1900,1
1737,A,Ship,2,1,257,2,low,F,24,2130,1
1738,D,Ship,2,2,169,3,medium,F,4,5485,1
1739,F,Road,6,2,139,6,medium,M,8,1691,1
1740,F,Road,4,1,262,6,low,M,1,1627,1
1741,A,Flight,5,2,264,8,high,M,2,5252,1
1742,D,Flight,6,4,148,4,low,F,10,5088,0
1743,C,Flight,4,1,190,4,medium,F,5,5570,1
1744,F,Flight,5,3,238,5,low,M,1,1871,1
1745,D,Road,2,1,154,3,medium,F,4,5100,0
1746,F,Road,5,3,146,4,low,M,5,1718,1
1747,B,Ship,3,1,226,3,high,M,2,4831,1
1748,C,Ship,2,2,189,4,low,M,9,3413,1
1749,A,Ship,4,3,227,3,medium,F,10,5491,1
1750,D,Road,4,5,268,3,medium,F,3,2758,1
1751,F,Road,3,5,234,2,medium,F,1,4455,1
1752,D,Ship,2,4,100,4,low,M,3,5398,0
1753,F,Flight,3,2,150,2,low,M,53,1319,1
1754,B,Ship,4,1,200,2,medium,F,5,5249,0
1755,B,Road,2,5,104,7,low,M,12,1064,1
1756,C,Flight,4,4,143,2,medium,M,58,1038,1
1757,D,Ship,2,1,166,3,medium,F,8,4255,1
1758,D,Ship,4,5,143,8,low,M,38,1095,1
1759,A,Flight,3,5,151,3,low,F,1,4088,0
1760,C,Ship,4,2,247,3,medium,F,64,2198,1
1761,F,Ship,5,1,201,3,medium,M,19,2696,1
1762,B,Ship,3,4,243,2,low,F,14,3693,1
1763,A,Ship,5,4,145,3,low,M,2,4492,1
1764,F,Flight,4,5,259,3,medium,M,10,4921,1
1765,B,Ship,3,3,150,3,medium,M,9,5852,0
1766,F,Road,3,4,219,6,low,F,2,1837,0
1767,F,Flight,3,1,164,3,medium,M,2,5488,0
1768,B,Flight,5,2,174,5,medium,M,8,4656,0
1769,F,Ship,4,3,129,6,medium,F,5,5626,0
1770,D,Ship,3,5,156,4,low,M,5,4661,1
1771,B,Road,4,3,137,3,medium,M,46,1299,1
1772,F,Ship,4,2,170,6,medium,M,10,4891,0
1773,C,Flight,7,5,258,4,low,F,4,1677,1
1774,C,Road,5,4,248,5,low,F,3,1471,1
1775,A,Ship,3,1,153,2,low,M,6,4996,0
1776,F,Ship,5,3,154,2,medium,M,8,4006,0
1777,C,Ship,2,3,158,2,medium,F,36,1788,1
1778,A,Ship,5,3,150,2,low,M,2,1682,1
1779,D,Ship,4,2,262,3,low,M,4,5085,0
1780,F,Ship,3,4,195,2,medium,F,10,4031,0
1781,A,Flight,6,4,260,3,medium,M,9,4730,1
1782,B,Flight,4,3,227,3,low,F,45,2707,1
1783,F,Ship,4,5,278,6,low,M,4,3909,1
1784,C,Ship,3,5,244,2,medium,F,10,4064,1
1785,C,Ship,5,1,179,2,low,M,8,5198,1
1786,C,Road,3,5,275,2,low,F,7,4619,0
1787,F,Flight,5,2,143,4,low,F,10,5400,0
1788,B,Ship,4,2,234,3,medium,M,4,3261,1
1789,C,Flight,3,3,180,3,high,F,56,1684,1
1790,C,Ship,5,1,210,2,low,M,2,4079,1
1791,A,Flight,3,5,214,8,high,M,50,3628,1
1792,B,Ship,4,4,146,10,low,M,1,4351,0
1793,B,Flight,5,1,207,3,low,F,1,4112,0
1794,F,Ship,3,1,193,4,low,M,5,4700,0
1795,B,Flight,5,5,232,5,medium,F,6,1246,0
1796,A,Ship,5,2,232,3,low,F,1,1187,1
1797,B,Ship,4,1,234,2,medium,M,4,5066,1
1798,B,Ship,3,1,131,4,low,M,1,1628,0
1799,C,Road,5,1,152,3,medium,F,3,5981,0
1800,F,Flight,5,5,262,2,medium,M,8,4283,0
1801,C,Flight,4,5,217,4,medium,F,3,5966,0
1802,A,Road,5,4,144,3,low,F,59,1178,1
1803,B,Ship,4,1,233,6,medium,F,2,5406,0
1804,D,Road,2,2,159,6,low,F,6,4044,0
1805,A,Ship,3,2,236,2,medium,M,2,4239,1
1806,F,Flight,3,2,215,4,low,F,3,4042,0
1807,F,Road,4,4,183,2,low,F,7,4572,1
1808,F,Ship,3,1,132,3,medium,F,5,5978,0
1809,F,Ship,3,5,159,3,medium,F,1,4314,1
1810,D,Road,5,4,228,5,low,F,9,1549,1
1811,C,Road,5,1,105,5,low,M,1,1101,1
1812,B,Flight,4,1,245,5,medium,F,8,1923,0
1813,D,Ship,3,2,214,3,medium,M,1,5362,0
1814,F,Ship,4,3,163,3,low,M,52,1891,1
1815,C,Ship,5,4,184,3,low,F,1,4208,1
1816,B,Ship,4,2,146,3,medium,M,7,4381,1
1817,B,Flight,5,5,251,6,medium,M,4,1077,0
1818,F,Ship,3,5,195,2,medium,F,9,5832,0
1819,F,Ship,5,5,198,2,high,M,3,5249,0
1820,F,Ship,4,4,224,3,medium,F,1,4231,0
1821,F,Ship,6,4,100,5,low,F,7,5668,1
1822,C,Flight,3,1,156,3,medium,F,1,1517,1
1823,F,Ship,4,5,188,5,low,F,1,5999,1
1824,F,Ship,3,5,160,3,low,F,8,4106,0
1825,F,Ship,4,1,144,4,medium,M,8,4303,0
1826,C,Ship,4,3,217,3,medium,F,7,4723,1
1827,A,Ship,3,2,133,3,medium,M,1,5026,1
1828,F,Ship,3,5,179,5,low,M,56,1113,1
1829,A,Ship,6,3,281,4,medium,F,7,1599,1
1830,A,Flight,4,1,227,3,high,M,8,4795,0
1831,C,Road,3,3,157,4,medium,F,2,5684,0
1832,C,Ship,4,1,228,2,medium,F,9,4091,0
1833,A,Ship,4,3,214,2,medium,F,6,4345,0
1834,A,Ship,3,4,234,3,medium,F,37,2111,1
1835,F,Road,5,5,156,3,low,F,5,5398,1
1836,A,Road,4,1,140,3,low,M,4,5210,1
1837,F,Ship,3,4,228,2,medium,M,65,3943,1
1838,B,Ship,7,4,192,3,low,F,33,1694,1
1839,B,Ship,3,5,219,3,low,F,54,3145,1
1840,A,Ship,3,2,123,4,medium,F,7,1596,1
1841,F,Ship,5,3,232,3,medium,M,3,4526,0
1842,C,Ship,4,1,166,3,high,F,3,1453,1
1843,B,Ship,5,2,240,5,medium,M,3,1079,0
1844,A,Ship,4,1,251,3,low,F,33,2502,1
1845,A,Flight,5,4,136,4,low,M,9,5469,0
1846,B,Ship,3,4,209,3,medium,F,60,2240,1
1847,A,Ship,2,4,136,6,medium,M,58,1479,1
1848,A,Ship,4,2,249,2,medium,F,7,5876,1
1849,F,Ship,5,5,141,3,low,M,4,4534,0
1850,D,Ship,5,3,267,6,low,F,8,1421,1
1851,B,Ship,3,4,247,2,low,M,2,4975,1
1852,A,Ship,5,1,182,3,low,M,8,3580,1
1853,C,Road,5,5,230,2,medium,F,36,3381,1
1854,D,Flight,5,3,274,6,medium,M,7,1293,0
1855,F,Ship,3,2,174,3,low,M,30,1986,1
1856,C,Flight,4,1,203,4,low,M,34,3813,1
1857,F,Ship,3,2,159,3,medium,F,4,1681,1
1858,F,Flight,4,4,149,3,low,M,34,1977,1
1859,D,Flight,2,2,128,2,low,M,17,1824,1
1860,F,Flight,5,4,143,2,low,F,8,5291,0
1861,D,Flight,4,1,266,2,high,M,4,5116,0
1862,F,Ship,5,2,133,10,medium,M,53,1674,1
1863,D,Road,6,4,116,3,low,M,6,4649,0
1864,A,Ship,3,4,180,2,medium,F,49,1942,1
1865,A,Ship,4,2,139,3,low,M,29,1365,1
1866,F,Ship,6,4,271,4,low,F,6,1503,0
1867,C,Ship,4,4,219,2,medium,M,7,4604,0
1868,F,Ship,3,3,135,3,low,M,8,1074,1
1869,B,Ship,4,2,232,3,medium,M,8,4658,1
1870,F,Ship,4,3,252,2,low,M,6,5266,1
1871,C,Road,3,5,148,3,low,F,7,5685,0
1872,B,Flight,2,1,220,2,medium,F,6,4382,1
1873,F,Ship,3,4,208,3,medium,F,23,2100,1
1874,D,Ship,4,1,100,6,medium,M,6,5841,0
1875,C,Ship,3,1,152,3,low,M,1,4949,1
1876,C,Ship,5,2,263,4,low,M,3,1740,1
1877,B,Ship,4,5,208,3,low,F,8,4632,0
1878,B,Ship,5,5,161,3,high,F,7,5338,1
1879,F,Flight,3,1,197,5,medium,F,6,5919,0
1880,F,Ship,5,3,133,4,medium,F,29,1094,1
1881,A,Flight,3,5,98,3,medium,F,48,1635,1
1882,B,Ship,4,5,152,3,medium,M,5,5191,0
1883,F,Ship,3,4,153,4,low,M,5,5604,1
1884,C,Ship,4,4,238,3,low,F,7,4709,0
1885,F,Ship,5,3,198,4,high,M,65,3407,1
1886,F,Ship,6,3,285,4,medium,F,1,1606,0
1887,A,Ship,3,4,196,4,low,F,4,5031,0
1888,D,Ship,3,4,154,2,medium,M,5,5735,1
1889,C,Ship,4,2,194,4,medium,F,26,3818,1
1890,D,Ship,3,1,180,3,low,M,52,1838,1
1891,A,Road,5,5,186,4,low,M,3,4287,0
1892,C,Ship,5,3,254,2,low,F,4,5014,0
1893,A,Flight,5,5,175,6,medium,F,2,4995,1
1894,B,Flight,4,2,149,4,low,M,40,1102,1
1895,A,Ship,4,1,147,3,low,M,11,1434,1
1896,B,Road,5,1,241,5,low,F,1,1146,0
1897,B,Ship,5,5,221,6,medium,M,6,1429,0
1898,C,Flight,5,5,105,5,low,F,10,5418,1
1899,C,Ship,3,2,182,3,medium,F,39,3828,1
1900,D,Ship,3,1,123,5,medium,F,10,4231,0
1901,F,Ship,2,5,246,5,low,M,46,2437,1
1902,A,Flight,2,2,237,5,low,M,8,4461,0
1903,A,Ship,3,4,197,6,medium,M,3,4890,1
1904,A,Ship,2,5,154,3,medium,F,1,4377,0
1905,F,Ship,4,2,236,3,low,M,4,4800,0
1906,D,Ship,5,5,250,4,medium,F,8,1247,1
1907,F,Ship,4,5,242,2,medium,F,2,4806,1
1908,A,Ship,5,1,233,5,medium,F,6,1631,1
1909,F,Ship,4,5,261,10,low,M,7,5208,0
1910,C,Flight,2,1,156,3,medium,M,3,5937,0
1911,F,Ship,3,2,174,3,low,F,3,5207,1
1912,A,Ship,3,2,232,3,low,F,64,3131,1
1913,A,Ship,4,5,149,6,medium,M,40,1974,1
1914,C,Flight,4,5,133,3,high,F,8,5653,1
1915,F,Ship,3,2,162,2,low,F,54,1614,1
1916,F,Road,3,5,244,3,low,M,3,4652,1
1917,C,Road,4,3,135,2,high,M,24,1292,1
1918,F,Ship,3,3,153,10,medium,M,10,5772,0
1919,D,Flight,5,4,271,3,medium,F,16,2563,1
1920,A,Ship,3,2,182,3,low,F,54,3972,1
1921,B,Flight,4,2,173,3,medium,F,1,5128,0
1922,C,Ship,4,5,246,6,low,M,1,1400,1
1923,D,Ship,3,2,145,2,medium,F,29,1690,1
1924,F,Road,3,1,221,10,medium,M,10,5473,0
1925,C,Ship,4,5,148,3,medium,F,5,5216,0
1926,C,Ship,4,2,261,3,high,M,1,4931,0
1927,D,Ship,4,4,266,7,medium,M,3,5672,1
1928,C,Ship,4,3,234,3,medium,F,9,4868,1
1929,B,Ship,6,4,235,6,low,M,1,5533,1
1930,A,Flight,3,1,185,2,medium,F,34,3299,1
1931,D,Ship,7,5,269,4,medium,F,9,1835,0
1932,D,Ship,4,3,135,3,low,F,15,1008,1
1933,A,Ship,4,4,189,4,medium,F,9,5838,1
1934,B,Flight,4,3,225,8,low,M,8,4718,1
1935,F,Ship,3,5,164,3,medium,F,43,1423,1
1936,C,Ship,3,3,214,3,medium,M,3,4056,1
1937,D,Road,3,4,185,4,medium,F,6,5322,0
1938,F,Road,2,4,257,6,low,M,5,3986,1
1939,D,Ship,4,4,188,4,low,F,10,4571,1
1940,A,Ship,4,1,261,3,medium,M,7,4314,1
1941,C,Ship,4,3,161,3,high,F,7,4799,1
1942,B,Ship,3,2,231,3,low,F,5,5046,0
1943,F,Flight,5,1,184,3,low,F,19,2625,1
1944,B,Ship,3,3,201,10,high,M,10,5281,0
1945,D,Ship,5,1,185,3,medium,F,7,4855,1
1946,D,Ship,2,2,188,4,medium,M,39,2424,1
1947,B,Ship,4,1,192,3,medium,F,29,3347,1
1948,A,Ship,5,1,279,4,medium,F,3,4607,0
1949,A,Flight,5,3,208,4,medium,M,10,2419,1
1950,A,Flight,5,4,172,2,low,M,5,4554,1
1951,F,Road,5,5,223,6,medium,F,10,1711,0
1952,C,Ship,4,5,208,2,medium,M,33,2170,1
1953,F,Ship,5,4,139,3,medium,F,6,5721,0
1954,F,Ship,4,4,193,3,low,M,2,5975,1
1955,D,Ship,6,2,269,4,low,M,6,1073,0
1956,A,Ship,4,1,199,2,low,F,46,3371,1
1957,A,Ship,4,3,162,10,high,M,25,1764,1
1958,F,Flight,5,3,198,3,low,F,6,5061,1
1959,B,Ship,5,5,221,5,low,F,3,1220,0
1960,D,Ship,5,1,176,4,low,F,1,4270,1
1961,D,Ship,3,1,155,3,medium,F,27,1022,1
1962,F,Ship,6,2,243,4,low,M,9,1258,1
1963,F,Ship,3,1,187,2,low,M,6,5448,0
1964,A,Ship,4,4,142,4,medium,M,2,1461,1
1965,A,Road,4,5,218,3,low,F,40,3200,1
1966,D,Ship,6,5,290,4,medium,F,3,1463,1
1967,A,Flight,4,4,216,6,low,M,5,1272,0
1968,B,Ship,3,3,273,3,medium,F,6,5269,1
1969,A,Road,4,5,191,3,low,F,19,2392,1
1970,B,Ship,4,1,208,2,low,M,6,5266,0
1971,F,Flight,2,5,134,10,high,M,8,5472,0
1972,F,Ship,2,2,278,2,medium,F,9,4318,0
1973,A,Flight,5,1,274,3,medium,M,58,2098,1
1974,F,Flight,3,3,251,3,medium,M,2,5972,0
1975,C,Road,3,5,242,2,low,F,6,5635,0
1976,F,Ship,5,1,254,5,medium,M,10,1020,0
1977,D,Ship,4,5,253,2,low,M,8,5652,0
1978,B,Ship,5,2,157,3,low,M,1,1798,1
1979,D,Ship,4,5,275,6,low,M,3,5008,0
1980,A,Ship,6,5,264,4,low,M,6,1005,0
1981,F,Ship,4,5,133,2,medium,M,39,1106,1
1982,C,Flight,2,5,271,2,low,F,5,5164,1
1983,D,Flight,5,3,267,3,low,M,48,3393,1
1984,F,Ship,7,2,302,4,low,M,6,1632,0
1985,D,Flight,5,2,259,2,medium,M,7,4764,0
1986,F,Ship,4,4,138,5,low,M,10,5401,0
1987,F,Ship,4,4,199,2,low,M,9,3075,1
1988,B,Road,5,5,263,2,medium,M,59,3238,1
1989,C,Ship,4,2,177,6,low,F,3,4392,1
1990,F,Ship,4,4,172,4,medium,M,7,4834,0
1991,C,Road,5,2,249,3,low,M,2,4696,0
1992,F,Ship,5,2,139,3,low,M,9,5920,0
1993,F,Ship,3,1,183,3,medium,M,7,5849,1
1994,D,Ship,4,2,170,2,medium,M,5,4996,1
1995,A,Ship,3,5,154,3,high,F,2,4219,0
1996,B,Ship,3,2,207,3,medium,F,1,4369,0
1997,F,Flight,4,3,206,4,low,M,1,4596,1
